PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,34.57ms,1,0,1
1,30.23ms,2,0,1
1,31.36ms,3,0,1
10,38.81ms,1,0,1
10,40.17ms,2,0,1
10,38.13ms,3,0,1
20,50.67ms,1,0,1
20,35.78ms,2,0,1
20,36.23ms,3,1,1
50,179.75ms,1,7,2
50,67.64ms,2,5,2
50,77.40ms,3,10,2
100,64.07ms,1,7,3
100,120.07ms,2,14,3
100,80.94ms,3,10,3
1000,790.60ms,1,26,5
1000,1210.46ms,2,20,5
1000,1203.31ms,3,15,5
