PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,163.56007513586124ms,1,2,26
20,83.08211864115023ms,2,3,61
20,70.43393589549349ms,3,4,61
40,2980.2509562124287ms,1,6,138
40,1727.0013847950895ms,2,2,138
40,1702.4898194492741ms,3,3,138
60,3813.4351523505056ms,1,2,138
60,2529.4412453393156ms,2,12,138
60,2435.037413171862ms,3,20,138
